Org,PC,Treatment
Tank,127.9385246,20ppt3C
Tank,123.8033057,20ppt3C
Tank,107.5456644,20ppt3C
Tank,135.4902744,35ppt0C
Tank,114.8849887,35ppt0C
Tank,109.3760841,35ppt0C
Tank,58.81062346,50ppt-3C
Tank,62.05601497,50ppt-3C
Tank,63.5665972,50ppt-3C
Field,12.83103852,Hero
Field,12.47345538,Hero
Field,12.53364264,Hero
Field,8.044381071,StaB1
Field,7.534559568,StaB1
Field,7.856738434,StaB1
Field,10.0730458,StaB2
Field,23.25051548,StaB2
Field,22.26273632,StaB2
Field,29.08867978,StaB3
Field,28.80190518,StaB3
Field,32.0307747,StaB3
Field,34.61935761,StaB4
Field,34.70432786,StaB4
Field,33.57847204,StaB4
Field,41.49486704,StaB5
Field,42.48618663,StaB5
Field,43.07389753,StaB5
