Org,dEPS,Treatment
Tank,139.3518935,20ppt3C
Tank,10.38749602,20ppt3C
Tank,104.1797851,20ppt3C
Tank,186.2480381,35ppt0C
Tank,221.4201465,35ppt0C
Tank,537.9691223,50ppt-3C
Tank,420.7287609,50ppt-3C
Field,9.496469,Hero
Field,279.1493,Hero
Field,267.425264,StaB1
Field,91.564722,StaB1
Field,56.392614,StaB1
Field,466.733879,StaB2
Field,32.944542,StaB2
Field,290.873337,StaB2
Field,21.220505,StaB3
Field,150.184903,StaB3
Field,208.805084,StaB3
Field,267.425264,StaB4
Field,232.253156,StaB4
Field,9.496469,StaB4
Field,208.805084,StaB5
Field,9.496469,StaB5
Field,56.392614,StaB5
