Org,pEPS,Treatment
Tank,40.97,20ppt3C
Tank,40.14,20ppt3C
Tank,30.69,20ppt3C
Tank,33.96,35ppt0C
Tank,40.86,35ppt0C
Tank,31.83,35ppt0C
Tank,14.37,50ppt-3C
Tank,11.50,50ppt-3C
Tank,20.46,50ppt-3C
Field,0.315765439,Hero
Field,0.051941563,Hero
Field,0.295451515,Hero
Field,1.013152123,StaB1
Field,1.748780348,StaB1
Field,1.170812495,StaB1
Field,2.703311504,StaB2
Field,2.661439947,StaB2
Field,2.167355567,StaB2
Field,2.988236986,StaB3
Field,3.808720626,StaB3
Field,3.967832545,StaB3
Field,3.39000505,StaB4
Field,3.247641754,StaB4
Field,3.297887623,StaB4
Field,2.623954877,StaB5
Field,3.540411223,StaB5
Field,3.755076673,StaB5
